image_name,angles
stars-1953.png,[]
stars-1769.png,"[71.60757327440817, 43.769193696802546, 132.56104203183284, 36.79247560241699, 29.57800869689772, 7.098325669228171]"
stars-454.png,"[39.58988056801233, 62.14959051976618, 13.210726668068965]"
stars-1989.png,[1.0200479972109744]
stars-2159.png,"[71.98828145590721, 88.30388251462156, 51.06379112949028, 25.112339742330352, 107.66800470447176, 51.85875847113364]"
stars-924.png,[]
stars-1879.png,"[72.00003121815145, 14.983024972183618, 60.93382211741508, 65.69514176533175, 59.89030897402137, 71.42537514078484]"
stars-059.png,"[15.707604676116189, 42.98211707466383]"
stars-126.png,"[71.1642012531257, 18.293551412075225, 1.5562143756424518, 9.236760558609246, 2.0522751260764287, 74.47900951843862]"
stars-1898.png,"[27.170614423730942, 8.446213374268055, 30.932286865055147, 153.22335273292956]"
stars-2212.png,"[30.249068351546384, 10.864288768572582, 66.51604835717308]"
stars-1705.png,"[60.82647834195596, 2.7593226025042945, 24.210489249236886, 97.50265868175126, 5.845687604231819, 92.71883154941106]"
stars-925.png,[]
stars-1372.png,[138.2268264254565]
stars-1928.png,[64.91077899604544]
stars-1184.png,"[66.07999830464684, 68.09414930770895, 10.496999268141485, 25.479401045622023, 16.798371781305296]"
stars-144.png,"[85.41993559495495, 0.7048742446205932, 24.992579717268075, 10.767826559847888, 67.61573797751043, 67.82564136977071]"
stars-832.png,"[41.39262068099825, 13.603173096353572, 65.22615231293862]"
stars-2139.png,"[28.720700300472448, 153.7060090337329, 15.95230650027581, 43.302182280345676, 66.2415857937293, 16.858380128448267]"
stars-1418.png,"[6.819740063716688, 38.428091305576146, 53.440893259919456, 96.8636629605479]"
stars-1605.png,"[55.25567493362539, 26.392951495343247, 112.01995002565121, 139.1164624187247, 9.692265286527542, 26.28841228209078]"
stars-040.png,"[58.64882581130657, 130.81960851400135, 22.870901550868425, 147.0838375313592, 61.032411687]"
stars-1475.png,"[74.87865530886083, 103.09643546425609, 77.7520943115373, 99.59077160791018, 63.60732198143426]"
stars-780.png,"[144.50795328435453, 36.702443202813605]"
stars-1072.png,"[74.7502373989925, 8.953766911985307, 84.30277602602371, 74.98602615235758, 135.5211631246417]"
stars-2161.png,"[173.3108908730828, 70.60764636590393, 71.47477793536984, 58.541107082051475, 105.83238662042221, 64.64256510793086]"
stars-475.png,"[76.45134657551351, 5.0475382573346135, 44.42455342594788, 22.577214712348127, 160.76567367883723]"
stars-176.png,"[12.46410428646799, 34.91873096221583, 69.40741410966073, 61.678632026435565, 2.00475463993294, 24.413986336045436]"
stars-1810.png,"[2.9924268223846413, 90.91186128715243, 15.816478787135553, 17.462028039745274, 4.443527050175232, 117.47052667559188]"
stars-1639.png,"[142.98853625080608, 86.97130142165943, 79.09744948756362, 21.844116039630332, 89.98792247498642, 66.60881079287603]"
stars-360.png,"[85.41993559495495, 0.7048742446205932, 24.992579717268075, 10.767826559847888, 67.61573797751043, 67.82564136977071]"
stars-1580.png,[140.33954408359023]
stars-2438.png,"[95.08808599169349, 12.645690002162189, 143.48927862445936, 27.560365048242243, 139.69337277962194, 55.417714850845186]"
stars-1830.png,"[30.790732702299604, 10.164169635845143, 61.780079083737164, 3.406024799952588, 53.51762928436749, 28.328671805818182]"
stars-757.png,"[143.30488294119567, 86.37955223350716, 51.84631082436505, 36.859894891142396, 60.53061237835071, 106.68015476555895]"
