image_name,angles,polygon_angles
stars-1698.png,"[49.72118323572762, 113.85248460598797, 37.99771887814819, 2.1127202289641325, 15.694880304886617, 67.18787019351612]","[97.54907126676139, 49.72118323572762, 146.34943726281858, 0.9208172396705943, 89.62080245749571, 14.918411953570924, 67.18787019351612, 37.35134421755055]"
stars-1625.png,"[79.69515353123397, 102.64215232788987]","[117.4075754378184, 79.69515353123397, 102.64215232788987, 60.25511870305776]"
stars-2308.png,"[100.95494911298088, 99.74502867922922, 25.98335325256698, 2.0667743062715878, 13.27646682106433]","[59.58078980940421, 134.8528228839717, 29.85381219185624, 45.41822088271125, 135.42904355750392, 5.310682319301951, 39.260274123194186]"
stars-569.png,"[110.38065994318379, 6.167167916135948, 7.498882360831091, 8.631744236179197, 61.57609241603392, 101.89502289891061]","[80.33923386962007, 110.38065994318379, 154.17900802581073, 15.101098161385456, 116.99723097243812, 19.746636317628365, 101.89502289891061, 34.8488443911559]"
stars-1747.png,"[17.014489317413656, 65.32872242805598, 52.31657729862075, 36.70052102250096, 25.68666557985249, 37.887234290595366]","[113.11612902738864, 95.51782076591174, 106.17050223042877, 45.19554797627086, 37.44571523908901, 50.73874485100039, 20.16385870342734, 33.456888315338716]"
stars-2202.png,"[4.999674943296037, 48.24796403093869, 60.84395490364081, 3.258605202463945, 9.134957137503473, 1.7679601462678998]","[97.4211159325706, 61.14433878028348, 106.13130553429416, 95.30323975285178, 15.772670544905408, 27.192557628017997, 7.8285575340021865, 19.248444617114746]"
stars-2498.png,"[85.8586525755095, 18.597446179434556, 43.92146932071169, 178.64873423909415]","[26.030575923426532, 131.9809527621163, 83.24389681893355, 74.76763186660925]"
stars-1166.png,"[138.98547861305167, 86.44970324171197, 110.45772013899712, 114.33206591353398, 35.368012952005834, 55.66485169626064]","[56.15795463545632, 104.92002319596402, 178.47247455778708, 20.44954761079258, 96.26349061433454, 59.14662993106427, 22.44334933736359, 14.67351134590666]"
stars-2464.png,"[37.94248386400066, 82.99305382396112, 98.49885529651286, 112.48394389596314, 25.357619750946768, 115.7632472264521]","[141.1854404000449, 86.61737326863029, 42.70687732988003, 11.861189801534572, 19.22521719339525, 98.49885529651286, 18.756854164480256, 98.03049226759786]"
stars-1971.png,"[48.07759954032004, 26.485694192485884, 125.81695079056553, 11.039245765812328, 38.219216931676584, 60.46116482903393]","[33.082282689210736, 157.54471268786492, 102.53109438768186, 66.8419102352425, 79.27830685874012, 16.792165645131643, 63.52957430173444, 1.0434330881260332]"
