image_name,angles,polygon_angles
stars-1449.png,"[98.32381386837697, 92.62822085708238, 9.171283800064737, 64.93806018543376, 76.93022823775723, 62.522683136555976]","[71.35313759675351, 91.0407311391053, 124.5342647844872, 73.071866479654, 28.011155044137904, 137.36080929323168, 38.66731261285702, 155.9607230497734]"
stars-1060.png,"[35.70440110925234, 25.222741181669015, 39.7689200822709, 3.524751573685885, 145.49656800952047, 41.03695818155682]","[96.09336033578928, 71.35815194674136, 145.49656800952047, 47.05191970794892, 32.1991470679137, 152.34637462323084, 102.14714253071544, 73.30733577814006]"
stars-1591.png,"[34.81641754949843, 47.07560551339534, 24.458410370274358, 55.88042810365206, 7.972758514071658, 82.70979527482895]","[25.874981751042206, 88.61770634546804, 166.11933041528928, 79.38798148820052, 66.53592227158202, 75.0476832979104, 117.2115046659865, 101.20488976452108]"
stars-793.png,"[19.150345705644423, 13.13871146483511, 33.09143041467756, 86.10950925927608, 15.044126430299842]","[86.10950925927608, 76.38719087010976, 145.89671133521296, 51.6065885354012, 32.84839676371637, 13.92754246556666, 133.22406077071702, 0]"
stars-930.png,"[49.05026348322801, 27.263135552338156, 72.2477366810388, 88.51141678385555]","[30.811624216126898, 138.28862460933658, 24.781239974030107, 166.11851120050645, 0.0, 0.0, 0, 0]"
stars-674.png,"[68.51365382600488, 108.44153366165179, 112.55687433639339, 0.6205716522819804, 9.948216912516246, 78.42517683095]","[58.06666779912936, 111.69607638660246, 140.7505873434337, 49.48666847083447, 68.51365382600488, 108.44153366165179, 82.64989507544783, 100.39491743689553]"
stars-530.png,"[116.39567996573398, 53.833783611605206, 2.9626209704786346, 0.6163093304052973, 99.71325102494032, 62.78388844269253]","[84.27230223195242, 170.38405389561265, 27.974822152165903, 77.36882172026904, 116.39567996573398, 33.42522807494458, 148.7167462171542, 61.46234574216724]"
stars-1184.png,"[66.07999830464684, 68.09414930770895, 10.496999268141485, 25.479401045622023, 16.798371781305274]","[47.7622698475764, 117.25532837494308, 137.84213788365565, 57.14026389382487, 13.435606921993658, 90.16638428923002, 76.3980087887763, 0]"
stars-2222.png,[],"[0, 0, 0, 0, 0, 0, 0, 0]"
stars-1499.png,"[120.43766813727228, 95.25534606499367, 17.971798216864975, 118.63148695590424, 96.33348577923722, 80.4524026821141]","[63.91936367959223, 89.43645312918599, 143.2429901849115, 63.40119300631033, 99.13722193525766, 49.42873318969733, 31.434044875045014, 0]"
stars-2513.png,"[13.82301163122441, 18.00775676292869, 30.403825539207045, 134.27812646119222, 39.530905029888075, 103.69050491318727]","[21.100070734859944, 109.65072707259577, 116.56505117707799, 112.68415101546627, 123.16690532972505, 34.69672693312477, 170.89220995503695, 31.24415778211326]"
stars-1629.png,"[8.580113847893651, 3.8942467274785897, 34.21763925874366, 11.243123636956668, 34.480203748819775]","[35.86176281797751, 68.70395865995741, 157.59713303909112, 97.837145482974, 57.665146942761346, 35.50647729990652, 86.82837575733215, 0]"
stars-455.png,"[84.83366158410966, 64.96795558893102, 80.99149625797484, 151.25330741937057, 92.63584702458621, 100.92874998578942]","[54.97973637928864, 100.92874998578942, 102.37308535621924, 101.7184282787027, 68.0712011441502, 26.7978576304072, 85.1309412254426, 0]"
stars-2528.png,"[10.563259548275557, 38.199483404017904, 82.04682212994459, 58.75545275494276]","[89.11551389024191, 70.29424912981005, 32.01404907271592, 168.57618790723214, 0.0, 0.0, 0, 0]"
stars-1262.png,"[9.312092462079875, 45.078470347444906, 121.48206685800727, 84.83127126758666, 21.197379565304022, 61.52579638992563]","[67.12880217694868, 89.355212478743, 121.48206685800727, 82.03391848630106, 48.14138650468491, 43.58216587568366, 88.27644761963141, 0]"
stars-533.png,"[141.44751314017458, 120.60379130706193, 48.68153580116037, 51.78938593490848, 12.59093026801858, 10.285478861475276]","[50.37728241320222, 77.92471141680646, 138.627912862115, 93.07009330787633, 60.927398169611834, 17.063084013772723, 167.0998375713462, 114.90968024526927]"
