image_name,angles,polygon_angles
stars_292.5_-62.5001.png,"[13.269318997714475, 1.5017988393694863, 35.40836977204807, 106.54219280687498, 67.82244406402471, 30.445112616628847]","[93.33963397913998, 67.70876352040882, 57.257513020692635, 141.6940894797586, 70.53715867470405, 38.81035176153257, 70.65248956376337, 0]"
stars_177.5_-17.5001.png,"[10.276524240492426, 86.55466532388492, 90.83993713119611]","[71.10145768907441, 118.22646775806246, 138.05167332533006, 32.62040122753307, 0, 0, 0, 0]"
stars_172.5_47.5001.png,"[33.81218686644654, 105.970033727511, 16.41358388256602]","[108.99012310935011, 47.20568136717342, 53.58623361126235, 150.21796191221415, 0, 0, 0, 0]"
stars_262.5_-42.5001.png,"[23.24508161082366, 15.317574035060266, 6.602987329613764, 1.9786471804989503, 129.10848848491185, 51.30790629518891]","[93.80315671340888, 79.9010347528684, 128.075366047557, 58.22044248616573, 66.84479799922252, 100.62695848190415, 63.419755033961465, 129.10848848491185]"
stars_282.5_7.5001.png,"[59.225287998336974, 176.64222051521787, 67.870394012262, 67.4396145584873, 88.26843537923655]","[62.34289246375249, 93.92335143774949, 139.57348779574696, 64.16026830275109, 18.06649229758431, 4.470295213008604, 157.46321248940714, 0]"
stars_232.5_-72.5001.png,"[42.50936284445702, 9.572661847215834, 10.78512384375324, 10.92945788330217, 35.496482031181955, 43.542730032258646]","[43.542730032258646, 73.61277203094552, 163.44292862436336, 79.40156931243249, 121.79947885761526, 56.17343295974797, 99.437510786165, 82.5895773964718]"
stars_357.5_62.5001.png,"[13.948545871351696, 35.838794823843905, 173.66487665865148]","[64.40523589831207, 97.93128518702562, 119.99686805621585, 77.66661085844646, 0, 0, 0, 0]"
stars_352.5_-47.5001.png,"[13.66927934105288, 36.22369705249379, 23.52906403908341, 0.34710570451416123]","[36.56161859505885, 93.82813390450788, 49.610247500433275, 0, 0.0, 0.0, 0, 0]"
stars_332.5_17.5001.png,"[92.6094845836026, 26.33521070701183, 0.8644213141215248, 76.47788017280133, 3.2562059319511385, 82.1714493381236]","[49.49719565571065, 71.64564069454565, 171.20258929000894, 67.65457435973477, 116.1653600783781, 33.346240101764074, 167.4101487431063, 43.07825107675148]"
stars_242.5_-32.5001.png,"[96.90394458657521, 48.47543646694389, 84.3539899801905]","[48.47543646694389, 96.90394458657521, 129.41603625595366, 85.20458269052727, 0, 0, 0, 0]"
stars_137.5_37.5001.png,"[89.43198793081059, 25.79969506790466, 98.28925688790065, 28.00215047846208, 127.18279624371168, 39.53538607166616]","[33.315381295978376, 82.33417935452921, 142.24710762730143, 102.103331722191, 48.62870244832266, 145.16082212874022, 89.43198793081059, 76.77848749212653]"
stars_37.5_-47.5001.png,"[26.084536794169768, 85.34116355104346, 130.1129901650785, 67.27070752624385, 79.99345572128948, 60.69925945007377]","[54.92471203395004, 128.7552447449911, 110.12478219155044, 66.19526102950842, 175.18308470350735, 40.84428868159623, 132.24751459973132, 11.725112015165063]"
stars_12.5_-72.5001.png,"[1.4415463590140345, 89.1605296256804, 97.50712118166149, 12.13092674731689, 167.97193809640711]","[66.3622786288731, 92.97967378041558, 171.01075145939845, 29.647296131312885, 27.40883220437016, 105.88144938788218, 46.70971840774765, 0]"
stars_72.5_47.5001.png,"[89.30814023523689, 20.880926676213942, 113.00887008282288, 124.26110289909455, 50.45030915612149, 141.82377684865358]","[70.44653130357943, 67.53450139470327, 80.19519045306373, 141.82377684865358, 127.58850714082112, 62.158854119949176, 25.713202473441893, 144.5394362657878]"
stars_352.5_-22.5001.png,"[27.70437442525559, 106.092496824626, 39.56285956265029, 15.633613729812433, 179.38117313246067, 6.485944219870641]","[38.35083249346654, 72.52931056563155, 141.52442448328122, 107.59543245762072, 13.98658912032282, 11.918438165013924, 154.09497271466327, 0]"
stars_2.5_2.5001.png,"[18.819516738897068, 104.17710804512407, 106.65308880496897, 75.87181989113114, 67.04586971271169, 104.35220963721487]","[60.06391179116796, 104.35220963721487, 135.33290963168048, 60.25096893993668, 88.38654057505772, 63.57178549415029, 66.77850091685963, 141.26317301393237]"
stars_72.5_27.5001.png,"[37.15437950617229, 47.306044524647845, 130.650349238766, 80.04687715064377]","[53.49503133442603, 125.85267298329833, 94.30474843711906, 86.34754724515658, 0, 0, 0, 0]"
stars_32.5_-62.5001.png,"[145.682539903958, 112.7297320799447, 96.3401917459099, 22.579572564026304, 109.27546997127568, 47.77768185735993]","[40.75628310741039, 56.48272980041181, 149.61074001836096, 113.15024707381687, 120.1711020343809, 25.927723612195095, 33.90117435342402, 0]"
stars_87.5_52.5001.png,[],"[8.537736462515939e-07, 8.537736462515939e-07, 0, 0, 0, 0, 0, 0]"
stars_157.5_-7.5001.png,"[52.65207952841403, 23.606726062538886, 177.5778797637191, 18.17210513002981, 92.87208171753986, 13.238203499112009]","[78.70739313159416, 85.9453093304689, 157.93858399421018, 37.408713543726776, 147.01680368359703, 19.687827744276667, 19.962768205663192, 173.33260036646308]"
stars_257.5_42.5001.png,"[48.01283810465964, 70.11074334171973, 106.43331801525508, 99.89685780769061, 96.87308237992681, 64.53445848365801]","[59.79224248141739, 106.8937559739904, 108.17927409924924, 85.13472744534299, 74.10525719943313, 89.35600621921472, 132.0985326170896, 64.44020396426258]"
stars_127.5_-17.5001.png,"[57.564840135460855, 68.58811834876074, 80.55574276024285, 104.23651196012457]","[111.05859171353558, 82.59199501680996, 95.14155425375309, 71.20785901590138, 0.0, 0.0, 0, 0]"
stars_92.5_-62.5001.png,"[6.358160104890124, 72.18050844654279, 53.48437016484964, 57.36983975655164, 0.30373794054301556, 40.53133810565971]","[58.68057912925562, 99.1201932622291, 124.992876494591, 77.2063511139243, 46.80589958684173, 56.20278129365373, 76.99131911950455, 0]"
stars_82.5_-52.5001.png,"[83.27861274324876, 39.14329885465022, 128.98459811969573, 55.26890275838823, 116.92163288719685]","[62.58920370995978, 83.27861274324876, 98.29325975429306, 115.83892379249842, 23.234375210073015, 28.01641520850892, 128.74920958141809, 0]"
stars_202.5_77.5001.png,"[9.600342248234973, 31.739072810581344, 20.831609278387933, 127.13224265824527]","[62.71103345355694, 50.98655756651319, 66.30240897992987, 0, 0, 0, 0, 0]"
stars_77.5_47.5001.png,[23.554206308063815],"[23.554206308063815, 83.16957457596074, 73.27621911597548, 0, 0, 0, 0, 0]"
stars_247.5_2.5001.png,"[75.91670235127584, 68.37820051939526, 69.82382006392689, 6.9463133237712755, 31.868887585907583, 49.58374155251721]","[60.035528334054135, 79.06432519044401, 96.99499281886622, 123.90515365663563, 67.87366519062672, 128.48019824834302, 63.61455882866909, 100.03157773236119]"
stars_222.5_77.5001.png,"[162.46602061936267, 155.38615459958083, 67.15081267192207, 77.41919604908982, 29.748956494723508]","[61.832306355840615, 94.94211946429763, 149.2838125895501, 53.941761590311664, 162.46602061936267, 8.644979405366843, 8.888999975270485, 0]"
stars_177.5_-22.5001.png,"[40.76729392744939, 50.57117690545568, 11.364681269667493, 6.479987965869086, 27.961622202259946]","[44.044102150359365, 34.7041603651293, 179.1274957678335, 102.12424171667806, 11.999382398745073, 136.47503729095243, 31.525580310302498, 0]"
stars_312.5_-17.5001.png,"[76.88200747389413, 126.54565920917284, 49.45338177487643, 89.33025793113661, 3.2903168586238767, 56.54312392406445]","[112.2720639204313, 98.0575860132506, 44.80925337955249, 104.86109668676563, 92.64254529406472, 17.877493964140243, 172.5979532679009, 76.88200747389413]"
stars_7.5_67.5001.png,"[48.12584310981824, 153.56694862349914, 21.264299373168555]","[61.05218469245054, 61.89385308685296, 117.67765455299823, 119.3763076676983, 0, 0, 0, 0]"
stars_177.5_22.5001.png,"[14.01646993291393, 16.622398170784766, 38.34590401692495, 64.34768508682023]","[64.34768508682023, 58.15468984128943, 155.5268636161357, 81.97076145575463, 0, 0, 0, 0]"
stars_237.5_-62.5001.png,"[73.92004403760659, 79.72426723783049]","[73.92004403760659, 79.72426723783049, 61.76255446183274, 144.5931342627302, 0, 0, 0, 0]"
stars_27.5_87.5001.png,"[166.23508914238465, 13.083632121828614, 12.21535525446547, 82.94118051978174, 62.991145275213015, 48.6866927067539]","[56.86944241384876, 84.4174725452379, 156.9450676379138, 61.768017402999554, 27.443690659749596, 23.21313135916456, 129.34317798108583, 0]"
